Online boarding,Inflight wifi service,Business Travel,Inflight entertainment,Loyal Customer,Checkin service,Age,Flight Distance,Seat comfort,Class
2,2,1,2,1,3,26,2062,2,3
4,5,1,4,1,4,52,680,4,3
3,3,0,3,1,4,28,188,3,1
4,3,1,3,1,4,54,453,4,3
4,4,1,4,1,3,40,775,4,1
4,5,1,5,1,2,79,2727,4,3
2,2,0,3,1,4,41,1192,3,1
0,0,1,4,0,3,24,1506,4,3
5,5,1,5,1,2,49,680,5,1
2,2,0,4,1,4,40,488,2,1
3,3,0,5,1,3,59,802,5,1
2,2,1,2,1,2,40,3797,2,3
5,5,1,2,0,5,21,1075,2,3
4,4,1,2,1,4,57,2938,5,3
3,3,1,2,0,3,28,971,2,1
4,3,1,5,1,4,25,2744,5,3
4,4,1,5,1,2,41,1075,5,2
3,3,0,3,1,4,22,228,5,2
3,4,1,4,1,4,49,3982,3,3
2,2,0,2,1,2,29,404,5,1
2,2,0,4,1,4,48,991,4,1
3,3,0,2,1,4,9,351,3,2
4,3,1,4,1,5,49,1096,4,3
3,2,1,2,1,3,49,1514,4,3
2,2,1,4,0,3,30,302,4,1
0,4,0,3,1,4,42,187,3,1
2,2,0,3,1,4,17,1184,3,1
2,2,1,3,0,3,32,680,1,3
4,4,1,4,1,4,44,128,4,2
4,1,1,4,1,4,27,280,4,3
1,1,1,1,1,3,43,239,1,2
1,1,0,3,1,5,28,621,3,1
5,5,1,4,1,4,46,1440,4,3
4,2,1,4,1,1,37,574,1,3
1,1,0,4,1,3,25,626,4,1
3,3,1,1,0,5,24,1276,1,1
5,0,1,5,1,3,53,328,4,3
0,0,1,4,0,4,23,746,4,3
1,1,0,2,1,1,12,546,2,1
4,4,1,5,1,4,33,1735,4,3
1,1,1,1,1,4,40,224,1,1
4,0,1,3,1,5,41,2783,4,3
0,0,0,4,1,2,10,1009,4,1
4,4,1,2,0,5,42,404,3,1
1,1,1,1,1,4,7,1514,1,3
4,5,1,4,1,5,52,1090,5,3
4,4,1,3,0,1,15,562,3,1
4,4,1,3,0,3,24,202,3,1
4,1,1,4,1,3,52,585,4,3
5,4,0,1,1,3,65,451,4,1
3,3,0,2,1,5,28,991,2,1
0,0,1,5,1,3,20,1034,5,1
3,3,0,1,1,5,34,1608,2,1
4,4,0,5,1,5,31,678,5,1
4,5,1,4,1,4,26,2075,4,3
2,4,0,2,1,3,57,321,4,1
1,1,0,5,1,3,39,590,4,1
4,1,0,4,1,2,52,1156,4,1
3,3,1,3,0,4,26,253,3,1
4,5,1,4,1,5,57,2973,5,3
3,3,0,1,1,4,30,323,1,1
3,5,1,5,1,4,56,109,1,2
2,3,1,2,1,3,8,1620,2,3
4,5,1,4,1,3,42,3648,5,3
4,1,1,4,1,4,57,1635,5,3
5,3,1,3,1,3,53,1504,4,3
2,2,1,2,1,3,44,1464,2,3
4,3,1,3,1,2,60,1624,3,3
4,3,1,4,1,5,59,2021,4,3
2,3,1,5,1,4,36,2724,5,3
1,1,0,5,1,3,69,2239,5,1
2,2,1,2,1,1,30,1546,2,3
4,3,1,4,1,5,28,1337,4,3
3,3,1,2,1,3,39,197,3,3
5,5,1,5,1,5,22,1674,5,3
3,3,0,5,1,2,23,371,5,1
4,1,1,4,1,3,57,187,1,3
4,1,1,3,1,5,58,479,5,3
3,3,1,3,1,1,41,813,3,2
4,4,1,5,0,2,29,622,5,1
5,5,1,5,0,4,25,813,5,3
2,2,1,2,1,4,44,1068,2,1
4,3,1,3,1,4,34,3141,4,3
2,2,0,5,1,3,62,1009,4,1
5,3,1,4,1,5,51,3382,5,3
5,2,1,5,1,4,39,528,5,3
3,3,1,3,1,3,47,125,1,1
4,4,1,4,1,3,26,491,4,3
5,3,0,5,1,2,59,1979,5,1
2,2,1,2,1,3,16,957,4,1
4,4,1,4,1,4,51,1097,4,2
2,2,0,4,1,4,34,757,4,1
3,3,1,2,0,1,27,1068,2,1
2,2,1,2,1,2,63,209,2,1
5,1,1,5,1,3,59,1626,4,3
3,3,0,3,1,3,30,413,3,1
4,4,1,4,1,1,30,866,4,1
3,3,1,3,1,3,54,2239,3,1
4,3,1,4,1,4,28,3841,4,3
4,5,1,4,1,3,17,2595,4,3
3,2,1,2,1,3,43,2605,3,3
4,3,1,2,1,4,49,2952,5,3
1,1,0,5,1,3,60,1009,5,2
1,2,0,5,1,3,32,944,4,1
4,4,1,4,1,5,58,302,4,1
4,3,1,4,1,4,51,1743,4,3
2,1,1,4,1,1,40,448,5,3
0,1,1,4,0,3,22,992,4,1
3,5,1,5,1,2,54,628,1,2
5,1,0,5,1,4,58,280,4,1
5,4,0,4,1,5,65,1042,4,3
5,2,1,5,1,3,48,4000,4,3
4,1,1,1,1,3,60,2771,4,3
0,0,1,3,0,1,22,337,3,1
4,3,1,4,1,5,26,1874,4,3
3,3,1,2,0,2,34,738,2,1
5,2,1,4,1,3,26,1127,4,3
4,3,1,4,1,2,49,1009,3,2
4,4,0,1,1,2,12,546,1,1
1,1,1,5,0,5,36,748,1,3
4,3,0,3,1,5,54,227,4,1
1,1,1,3,0,3,38,707,3,1
4,3,1,4,1,4,53,2235,5,3
3,1,1,2,1,5,48,1726,5,3
3,1,0,4,1,1,54,684,3,2
4,4,1,4,1,4,43,192,4,1
1,1,0,2,1,2,12,442,2,1
4,4,0,4,1,4,10,802,5,1
4,1,1,5,1,3,39,1884,4,3
3,3,1,3,1,2,72,308,3,1
1,1,0,2,1,5,54,259,2,1
3,2,1,2,1,1,44,1990,3,3
4,3,0,4,1,5,49,920,4,1
3,3,1,3,1,2,56,3296,2,3
3,2,0,3,1,5,30,655,2,1
2,3,1,2,0,4,36,2565,2,3
4,4,1,2,0,4,38,129,2,1
3,3,0,3,1,3,24,920,3,1
4,2,1,4,1,3,48,631,4,3
4,2,1,4,1,5,54,2484,5,3
3,2,1,2,1,2,54,2129,4,3
1,1,0,1,1,3,12,1096,1,1
5,5,1,4,1,4,46,2139,4,3
4,2,0,5,1,4,70,550,4,3
4,5,1,4,1,3,64,224,4,3
4,4,1,4,1,4,9,2288,4,3
4,4,1,4,1,4,63,115,4,2
4,4,1,4,0,3,18,1041,4,1
2,1,0,2,1,4,10,2556,2,1
2,2,1,1,0,3,27,1134,1,3
4,4,1,5,0,5,25,304,5,3
1,1,1,1,1,1,51,2556,1,1
1,1,0,4,1,4,36,312,5,1
3,3,1,3,1,4,71,431,2,3
5,3,0,1,1,5,35,311,1,1
4,2,1,4,1,4,40,2077,4,3
1,1,0,5,1,5,60,491,5,1
2,1,1,4,1,5,69,2134,3,3
2,2,1,2,1,1,37,226,2,1
1,2,1,4,1,4,56,1852,4,3
4,4,1,2,0,5,42,731,2,3
5,5,1,1,0,4,20,650,1,3
2,3,1,5,0,2,20,153,1,1
3,3,1,4,1,2,38,1710,3,3
4,2,1,2,1,2,47,1874,3,1
3,3,0,4,1,4,47,1056,4,1
5,4,1,5,1,4,60,3694,4,3
5,0,0,4,1,5,52,748,4,1
1,1,1,1,1,1,45,406,1,2
4,3,0,2,1,4,68,1024,4,3
3,3,1,2,0,1,24,448,4,1
2,2,1,2,1,5,45,1833,3,3
2,2,0,4,1,1,25,277,3,1
5,5,1,5,1,5,24,1476,5,3
1,1,1,3,0,1,29,710,3,1
4,2,1,5,1,4,55,2565,4,3
1,1,1,1,1,4,11,956,3,2
4,3,0,1,1,4,42,447,1,1
4,5,1,5,1,4,51,404,5,3
4,5,0,5,1,2,18,868,2,1
5,5,1,5,1,3,57,86,5,1
3,3,0,4,1,5,29,1546,4,2
4,4,1,4,1,1,16,545,3,1
5,2,0,2,1,3,67,406,4,1
4,5,1,4,1,5,38,2710,5,3
5,1,0,2,1,3,47,763,4,2
2,2,0,5,1,5,17,409,5,1
2,2,1,3,0,4,27,1050,1,3
4,4,1,4,1,4,43,74,3,1
1,1,1,5,0,2,36,642,2,1
4,4,1,4,1,5,56,331,4,1
4,4,0,1,1,3,11,634,1,1
3,3,0,1,1,3,14,532,1,1
5,2,1,5,1,3,30,1531,5,3
3,3,0,5,1,1,62,1488,5,1
1,1,0,4,1,2,38,323,1,1
3,3,1,3,0,4,23,628,3,1
2,2,0,5,1,1,56,1846,3,1
2,2,1,3,0,3,59,429,3,1
4,5,1,4,1,4,45,1670,5,3
